Garam Masala,"['dried miniature rosebuds (optional)', '1-inch piece cinnamon stick, broken into pieces', 'bay leaves', 'cumin seeds', 'coriander seeds', 'green cardamom pods', 'whole black peppercorns', 'teaspoons whole cloves', 'dried red chile', 'freshly grated nutmeg', 'ground mace']",https://www.epicurious.com/recipes/food/views/garam-masala-recipe
Smoked Paprika and Sun-Dried Tomato Potlikker,"['extra-virgin olive oil', 'medium onions, thinly sliced', 'garlic cloves, coarsely chopped', 'crushed red pepper flakes', 'smoked paprika', 'sun-dried tomato paste', 'red wine vinegar', 'Diamond Crystal or 2¼ tsp. Morton kosher salt', 'ground black pepper']",https://www.epicurious.com/recipes/food/views/ba-syn-smoked-paprika-and-sun-dried-tomato-potlikker
Crème Brûlée French Toast Casserole,"['(½ cup) unsalted butter', 'packed brown sugar', 'tablespoons corn syrup', '8- to 9-inch round loaf country-style bread', 'large eggs', 'half-and-half', 'vanilla', 'Grand Marnier', 'salt']",https://www.epicurious.com/recipes/food/views/creme-brulee-french-toast-15213
Classic Bananas Foster,"['pecans', 'unsalted butter, cut into pieces', '(packed; 50 g) dark brown sugar', 'ground cinnamon', 'ground cardamom', 'vanilla extract', 'bananas, halved lengthwise, then crosswise', 'salt', 'dark rum (80–100 proof)', 'ice cream (for serving)']",https://www.epicurious.com/recipes/food/views/ba-syn-classic-bananas-foster
Bloody Mary Salmorejo,"['½”-thick slices white bread, toasted, torn into bite-size pieces', 'garlic clove, finely grated', 'lb. heirloom or beefsteak tomatoes', 'sherry vinegar or red wine vinegar', 'Diamond Crystal or 1 tsp. Morton kosher salt', 'smoked paprika', 'ground black pepper', 'extra-virgin olive oil', 'jammy eggs, prosciutto or jamón Serrano, stuffed green olives, anchovy fillets, and/or pickles (for serving; optional)', 'red pepper flakes and finely chopped parsley (for serving)']",https://www.epicurious.com/recipes/food/views/ba-syn-bloody-mary-salmorejo
Swordfish With Asparagus and Beans,"['and juice of 2 lemons', 'crushed red pepper flakes', 'plus 4 Tbsp. extra-virgin olive oil, divided', 'salt, freshly ground pepper', '1”-thick swordfish or mahi-mahi steaks (about 1½ lb. total), patted dry, cut into 1” cubes', 'lb. asparagus, woody stems trimmed, cut into ½” pieces', 'garlic clove, thinly sliced', '15-oz. cans small white beans, (such as navy or Great Northern), rinsed', 'tender herbs (such as mint, dill, basil, and/or parsley), plus more for serving']",https://www.epicurious.com/recipes/food/views/ba-syn-swordfish-with-asparagus-and-beans
Miso-Brown-Butter Rice Cakes With Corn,"['lb. cylindrical Korean rice cakes (about 2½"" long)', 'vegetable oil', 'scallions', 'unsalted butter, cut into pieces, divided', 'fresh corn kernels (from about 3 large ears)', 'white or yellow miso', 'rice wine vinegar', 'soy sauce', 'freshly ground black pepper', 'toasted sesame oil', 'salt']",https://www.epicurious.com/recipes/food/views/ba-syn-miso-brown-butter-rice-cakes-with-corn-recipe
Pasta al Limone,"['lemon', 'spaghetti or other long pasta', 'salt', 'heavy cream', 'unsalted butter', 'finely grated Parmesan (about ¾ cup)', 'ground black pepper']",https://www.epicurious.com/recipes/food/views/ba-syn-pasta-al-limone
Baoshao Mushrooms (Mushrooms Grilled in Banana Leaves),"['vegetable oil, plus more for grill', 'red Thai chiles, thinly sliced on a diagonal', 'light soy sauce, divided', 'Diamond Crystal or 1¼ tsp. Morton kosher salt', 'finely chopped garlic', 'finely chopped peeled ginger', 'sugar', 'of 1 lime, divided', 'sprigs culantro or cilantro, coarsely chopped', 'sprigs Thai lemon basil or Thai basil, coarsely chopped', 'lb. package fresh (or frozen, thawed) banana leaves', 'enoki mushrooms, trimmed, torn into ½"" pieces', 'brown shimeji mushrooms', 'lemongrass stalk, bottom 4"" only, tough outer layers removed, thinly sliced', 'pandan leaves', 'jasmine rice or glutinous rice (for serving)']",https://www.epicurious.com/recipes/food/views/baoshao-mushrooms-grilled-in-banana-leaves
Five-Spice Short Rib and Daikon Soup,"['lb. English-style bone-in beef short ribs', 'vegetable oil', '2"" piece ginger, scrubbed, thinly sliced', 'garlic cloves, smashed', 'medium onion, thinly sliced', 'bunch scallions, trimmed, halved crosswise', 'large daikon (about 1 lb.), peeled, cut into ½"" pieces', 'bay leaves', 'michiu or dry sake', 'Diamond Crystal or 1 Tbsp. plus ½ tsp. Morton kosher salt, plus more', 'five-spice powder', '(or more) ground white pepper', 'MSG', 'bunch cilantro, leaves with tender stems picked, coarsely chopped', 'sesame oil (for serving)']",https://www.epicurious.com/recipes/food/views/ba-syn-short-rib-and-daikon-soup
Harissa-Honey Popcorn Chicken,"['preserved lemon, seeds removed', 'large egg', 'garlic cloves, finely grated', 'of 1 lemon', 'low-fat buttermilk', 'plus ¾ cup cornstarch, divided', 'Diamond Crystal or ¾ tsp. Morton kosher salt, divided', 'lb. skinless, boneless chicken thighs, cut into 1"" pieces', 'rice flour', 'oil (for frying; about 11 cups)', '(1 stick) unsalted butter', 'medium-bodied honey (such as orange blossom)', 'harissa paste', 'fresh lemon juice', 'Diamond Crystal or ¼ tsp. Morton kosher salt; plus more (optional)', 'raw vegetables (such as radishes, cucumber spears, and carrot sticks; for serving)', 'deep-fry thermometer']",https://www.epicurious.com/recipes/food/views/ba-syn-popcorn-chicken
Tempeh Crumbles With Coconut Rice,"['unsweetened coconut milk', 'Diamond Crystal or ¼ tsp. Morton kosher salt, plus more', 'jasmine rice, rinsed', 'Persian cucumbers, thinly sliced', 'unseasoned rice vinegar', 'lb. tempeh', 'grapeseed or vegetable oil', 'shallots, thinly sliced', 'garlic cloves, thinly sliced', 'chili crisp', 'low-sodium soy sauce', 'toasted sesame oil', 'salted or unsalted roasted peanuts, coarsely chopped', 'basil leaves (for serving)']",https://www.epicurious.com/recipes/food/views/ba-syn-tempeh-crumbles-with-coconut-rice
Jalebi,"['raw pistachios', 'urad dal', '(125 g) all-purpose flour', 'baking powder', 'melted ghee or clarified butter', '(200 g) sugar', 'cardamom pods, lightly crushed', 'saffron threads (optional)', 'rose water (optional)', 'of kosher salt', 'fresh lemon juice', 'vegetable oil', 'deep-fry thermometer']",https://www.epicurious.com/recipes/food/views/ba-syn-jalebi
Sake-and-Black-Sugar-Braised Pulled Pork Sliders,"['vegetable oil', 'lb. boneless pork shoulder (Boston butt), patted dry', '3"" piece ginger, scrubbed, thinly sliced', 'dry sake', 'light soy sauce (such as Kimlan)', '(packed) plus 1 Tbsp. ground black sugar or dark brown sugar', 'hon-dashi (bonito stock powder)', 'red Thai chiles, thinly sliced', 'distilled white vinegar', 'Diamond Crystal or ½ tsp. Morton kosher salt, plus more to taste', 'daikon (about 12 oz.), peeled, cut into 4"" pieces', '(or more) unsalted butter', 'Hawaiian or other soft hamburger buns', 'leaves with tender stems (for serving)']",https://www.epicurious.com/recipes/food/views/ba-syn-sake-and-black-sugar-braised-pulled-pork-sliders
Karpatka Cake,"['(454g) whole milk', 'eggs', '(132g) granulated sugar', '(28g) cornstarch', 'teaspoons pure vanilla extract', 'salt', 'tablespoons orange liqueur', 'grated zest of 1 orange', '(185g) unsalted butter, at room temperature', '(75g) whole milk', '(75g) water', '(85g) unsalted butter', 'salt', 'granulated sugar', '(90g) all-purpose flour', 'eggs', 'or other neutral oil, for oiling the spatula', 'sugar, for dusting']",https://www.epicurious.com/recipes/food/views/karpatka-cake
Perfectly Creamy Potato Soup,"['lb. russet or Yukon Gold potatoes (about 4 large), scrubbed, thinly sliced', 'lb. white onions (about 2 medium), thinly sliced', 'garlic cloves, coarsely chopped', 'extra-virgin olive oil, plus more for drizzling', 'Diamond Crystal or 1¼ tsp. Morton kosher salt, plus more', 'dried thyme', 'low-sodium chicken broth', 'sour cream, plus more for serving', 'distilled white vinegar', 'freshly ground black pepper, plus more', 'sliced scallions, chopped pickled jalapeños, and finely chopped dill (for serving)']",https://www.epicurious.com/recipes/food/views/ba-syn-potato-soup-recipe
